team,conference,elo,week,Year
Arkansas State,Sun Belt,1427,1,2024
Army,FBS Independents,1610,1,2024
BYU,FBS Independents,1700,1,2024
Memphis,American Athletic,1702,1,2024
Middle Tennessee,Conference USA,1314,1,2024
Navy,American Athletic,1438,1,2024
SMU,American Athletic,1544,1,2024
South Alabama,Sun Belt,1272,1,2024
Southern Miss,Conference USA,1406,1,2024
Texas State,Sun Belt,1206,1,2024
App State,Sun Belt,1700,2,2024
Arkansas State,Sun Belt,1448,2,2024
Army,FBS Independents,1654,2,2024
BYU,FBS Independents,1700,2,2024
Charlotte,Conference USA,1373,2,2024
Clemson,ACC,2066,2,2024
Coastal Carolina,Sun Belt,1351,2,2024
Duke,ACC,1416,2,2024
Florida State,ACC,1482,2,2024
Georgia Tech,ACC,1355,2,2024
Iowa State,Big 12,1621,2,2024
Kansas,Big 12,1280,2,2024
Kansas State,Big 12,1611,2,2024
Louisiana,Sun Belt,1693,2,2024
Louisville,ACC,1472,2,2024
Memphis,American Athletic,1702,2,2024
Miami,ACC,1553,2,2024
Middle Tennessee,Conference USA,1314,2,2024
Navy,American Athletic,1438,2,2024
North Carolina,ACC,1663,2,2024
Notre Dame,FBS Independents,1828,2,2024
SMU,American Athletic,1544,2,2024
South Alabama,Sun Belt,1282,2,2024
Southern Miss,Conference USA,1406,2,2024
Syracuse,ACC,1433,2,2024
Texas,Big 12,1833,2,2024
Texas State,Sun Belt,1202,2,2024
Tulane,American Athletic,1521,2,2024
UAB,Conference USA,1374,2,2024
UL Monroe,Sun Belt,1261,2,2024
UTEP,Conference USA,1056,2,2024
UTSA,Conference USA,1226,2,2024
Wake Forest,ACC,1506,2,2024
Western Kentucky,Conference USA,1480,2,2024
App State,Sun Belt,1665,3,2024
Arkansas State,Sun Belt,1448,3,2024
Army,FBS Independents,1654,3,2024
Boston College,ACC,1510,3,2024
BYU,FBS Independents,1700,3,2024
Charlotte,Conference USA,1373,3,2024
Clemson,ACC,2066,3,2024
Coastal Carolina,Sun Belt,1351,3,2024
Duke,ACC,1371,3,2024
Florida State,ACC,1482,3,2024
Georgia State,Sun Belt,1322,3,2024
Georgia Tech,ACC,1325,3,2024
Iowa State,Big 12,1621,3,2024
Kansas,Big 12,1280,3,2024
Kansas State,Big 12,1611,3,2024
Liberty,FBS Independents,1408,3,2024
Louisiana,Sun Belt,1676,3,2024
Louisiana Tech,Conference USA,1531,3,2024
Louisville,ACC,1451,3,2024
Marshall,Conference USA,1499,3,2024
