gameId,team,teamId,conference,homeAway,points,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected
401767620,Drake,,Pioneer,,41,2,29,0,3,3,10,0,1,11,0,0,2,1,0,35:33,1,0,1,5-45,4.2,48,201,13.2,16-21,278,479,2-2,10-16,25,,,,,,
401767620,Upper Iowa University,,Great Lakes,,7,0,5,0,2,1,108,0,6,1,0,0,1,0,2,24:27,2,1,3,5-45,1.1,17,18,6.7,18-30,201,219,0-1,4-11,12,,,,,,
401767547,Southern Illinois,,MVFC,,49,3,27,0,1,3,73,0,2,7,41,1,2,3,1,26:48,0,0,0,6-60,4.2,35,148,8.2,19-29,238,386,1-2,5-11,24,,,,,,
401767547,Thomas More College,,Great Midwest Athletic,,3,0,0,0,1,0,86,0,4,3,,,,0,4,33:12,2,3,5,4-20,1.9,32,60,4.5,18-29,131,191,1-1,2-13,13,,,,,,
401767526,UT Rio Grande Valley,,Southland,,66,4,-2,0,1,5,0,0,1,12,,,,1,1,30:37,0,1,1,8-71,6.7,35,236,16.2,26-27,438,674,0-0,7-9,29,,,,,,
401767526,Sul Ross State,,Lone Star,,0,0,,,,0,128,0,7,,,,,1,1,29:23,0,1,1,12-70,1.1,31,33,2.9,10-14,41,74,0-1,2-12,6,,,,,,
401752947,Washington State,,Pac-12,,13,0,,,,1,36,0,2,7,,,,2,2,24:49,0,1,1,7-48,0.1,22,3,6.7,23-31,208,211,2-2,3-12,13,4,0,39,0,2,2
401752947,Idaho,,Big Sky,,10,1,0,0,1,0,45,0,2,4,,,,1,2,35:11,0,2,2,6-57,4.2,45,188,1.7,12-20,33,221,1-1,7-16,16,7,0,29,1,4,0
401754522,Miami,,ACC,,27,1,9,0,1,2,32,0,1,9,12,0,1,1,0,33:57,0,0,0,6-51,3.4,37,127,6.6,20-31,205,332,1-2,5-14,20,5,0,31,3,1,3
401754522,Notre Dame,,FBS Independents,,24,1,9,0,2,2,15,0,1,6,,,,0,2,26:03,1,1,2,5-30,3.5,27,94,7.4,19-30,221,315,0-0,4-9,18,2,0,32,1,1,3
401767634,Morehead State,,Pioneer,,38,3,,,,1,203,0,6,8,,,,,,28:48,0,0,0,8-94,6.5,30,195,10.4,16-21,219,414,1-2,3-8,17,,,,,,
401767634,Allen,,SIAC,,31,2,-6,0,1,2,60,0,4,7,,,,0,1,31:12,0,0,0,1-0,3.0,36,107,8.1,26-38,309,416,1-2,4-11,31,,,,,,
401756876,UT Martin,,Big South-OVC,,7,0,0,0,1,1,,,,1,,,,,,28:39,1,0,1,7-50,3.1,38,116,6.4,10-17,109,225,0-0,6-15,13,9,0,45,2,2,2
